Excel File,Formulas Used
Q45\R_2f7GTtgJqJVI8Al_Copy_of_TasksGetCalories.xlsm,
Q45\R_1db2RxGqWcJjjYe_Copy_of_TasksGetCalories.xlsm,
Q45\R_TbFxazSl3UKTU8p_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2UcpztPwZaZ1mKV_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_WAL9AH6NUqHmf3r_TasksGetCalories.xlsm,
Q45\R_1CmsSE1HxBpkAHN_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1jJq7h2ctoiSIur_TasksGetCalories.xlsm,
Q45\R_82ifgig2FuGogjn_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_eVfiZofa15WU8Qp_TasksGetCalories.xlsm,
Q45\R_3G6A6v0QvDZzZn4_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_9WXZh7HtmJdliPD_TasksCalories.xlsm,"MID, SEARCH"
Q45\R_3Oddi8WMAkmsoGP_TasksGetCalories.xlsm,"TRIM, MID, FIND"
Q45\R_etXbqYV3MZCsWNH_TasksGetCalories.xlsm,
Q45\R_O2oQELzTIKhBWMx_TasksGetCalories.xlsm,
Q45\R_3oNRcG6BAkrlRoj_TasksGetCalories.xlsm,
Q45\R_31gZ0oeRbYwAZVa_TasksCalories.xlsm,"MID, SEARCH"
Q45\R_3NWnyWeUbHkGBbg_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1GvQF7wvI0J1LGI_Copy_of_TasksGetCalories.xlsm,
Q45\R_ZKJ1yEjU3emJS25_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_3lGfMjxJv029NPC_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_oY0P1OTsb3uoq5P_TasksGetCalories.xlsm,
Q45\R_2e5aIxyuH4dvYww_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_VUSM9WMOqTqtTO1_TasksCalories.xlsm,"MID, SEARCH"
Q45\R_1rMR3rh4pfno6a1_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1UlQuGi9PRgQMzn_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2SqoC3So8Lkv8M2_TasksGetCalories_A10PFZZSONQ18A.xlsm,"INT, MID, SEARCH"
Q45\R_301qoYEcQKGXo8k_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2zpaZQmr1vq2aMY_TasksGetCalories.xlsx,"MID, SEARCH"
Q45\R_1DAbbkfcThldf77_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_UAYwc8efPX2oozT_Copy_of_TasksGetCalories1.xlsm,"FIND, MID"
Q45\R_3fCR6aPLeQdAjfJ_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2rpwWw9Q5fLpJG4_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2wmY6xsP2zkRxrC_Copy_of_TasksGetCalories.xlsm,
Q45\R_3CCTyayWKgpETGx_TasksGetCalories.xlsm,
Q45\R_1OYWo6hDz6tBtYU_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2b12SXg1T35yknf_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3frFfBxIL8DsGOL_TasksGetCalories.xlsm,
Q45\R_C9wQQAnuDAch2Ex_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_3Oif4gUo6e2v68O_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2t8NfQweVtuOb0v_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2PznedSFpTR8csx_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_27EkcQLv7wZSGcG_Copy_of_TasksGetCalories.xlsm,
Q45\R_2c1xKfGuq2W5CYx_TasksGetCalories.xlsm,
Q45\R_33BXtenntOvPBQK_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1jAGatdsODwvnYG_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_22tqUir8O7BtZSi_Copy_of_TasksGetCalories.xlsm,
Q45\R_ewB25SPl4uinZ4Z_TasksGetCalories.xlsm,
Q45\R_aVPPyF7g506eF21_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_2PvzxluNOM9WP8p_TasksGetCalories.xlsm,
Q45\R_s6GA34x1r0gkgyR_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2uPMmIXv4MdSviS_TasksGetCalories.xlsm,LEFT
Q45\R_2aQ4aBFgmKW0wSd_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3RkedcJ63KrS9vF_TasksGetCalories.xlsm,
Q45\R_ZsL9bsVxhUTGPzH_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3OqY0fB5oxpKh3E_TasksGetCalories.xlsm,
Q45\R_1Iav5JUUpVhaf2T_taskcalories.xlsx,"MID, SEARCH"
Q45\R_ZgAvRiIpsxThvax_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_s55sfDB9UkzjmCJ_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_XIkkFv0X7W7YzSx_TasksGetCalories.xlsm,
Q45\R_2CyprCaunWph1s8_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_23U1a2KRqEujgWX_TasksGetCalories.xlsm,"SUM, LEN, SUBSTITUTE"
Q45\R_2QXTRaf17yJRI67_TasksGetCalories.xlsm,
Q45\R_2P0ydx0bX5HR6tX_TasksGetCalories.xlsm,
Q45\R_231Z8LssVUkP8MU_TasksGetCalories.xlsm,MID
Q45\R_1GwEACx4CdjSCq7_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1LjkYPQe6FtHerR_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3qdNWdqdUShVOlj_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_33x4m3phREPXtz3_TasksGetCalories.xlsm,
Q45\R_2yk0EaOIM0llddf_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2rqFu9EZXaM3nt1_Copy_of_TasksGetCalories.xlsm,"MID, FIND, TRIM"
Q45\R_xDdSbivVgoguQVz_TasksGetCalories.xlsm,
Q45\R_1LtVBHZRxy6A85R_TasksGetCalorieS_XLSM.xlsm,"MID, SEARCH"
Q45\R_3no85mzMY7F1aB9_TasksGetCalories.xlsm,
Q45\R_11ZX0AMyiV6GMXI_Mturk__Calories.xlsm,"MID, SEARCH"
Q45\R_1lfzWsqQrKxCtn2_TasksGetCalories.xlsm,
Q45\R_27jy7QZL6Lw48CN_TasksGetCalories.xlsm,"INT, TRIM, MID, SEARCH"
Q45\R_3Dcm3B18ZokdSYK_TasksGetCalories.xlsm,
Q45\R_2foZBLpU5YiVjy6_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1g8fkCQyVHbryH4_TasksGetCalories.xlsm,
Q45\R_1CrVs0GjgKYvXLH_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2xxBZqnaFLQ9zoI_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2wHo1i7UrDPnsBO_TasksGetCalories2.xlsm,
Q45\R_1jWkXpR4CbpwbY8_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2QXJbnVhvL3HI1B_Copy_of_TasksGetCalories.xlsm,
Q45\R_77MUeZldQeNF3YR_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_2dN5w4TlCR0GV0d_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_OwHSY0a4nNhnRLz_TasksGetCalories.xlsm,
Q45\R_1gAvgfnSbnqKkF5_TasksGetCalories.xlsm,
Q45\R_2U5XTnuc0vkJ7lO_Copy_of_TasksGetCalories.xlsm,"LEFT, MID"
Q45\R_1hGf8OgA66u2NaE_TasksGetCalories.xlsm,
Q45\R_27CH5HQqYPfRwKi_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3sjBGzskLIgpqEu_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_26gvth4PtHrIZXr_TasksGetCalories.xlsm,
Q45\R_8izVvYhoGZzLsWZ_TasksGetCalories.xlsm,
Q45\R_2ZHMt7ZVWrzHkta_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_12PTlZIcMMR3dKT_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2X5y6kBlbeXI273_TasksGetCalories.xlsm,
Q45\R_33ByLwtNfJ6nu3r_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2f9cPSILaZMPIIa_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2rUUkN94POj5L73_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1qVPpqdxziOE9lN_TasksGetCalories.xlsm,
Q45\R_2rCvMD5pYJOVsPE_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2tyhofKxwVXrAUZ_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_31hB9FE5vRsAG3B_TaskCalories.xlsm,"MID, SEARCH"
Q45\R_2V3FtcXMCis4X8A_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_UsVFuNiJ6iWoQwx_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3Kx3ECz2Z5AM2FT_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_1PaUi2B0SUYVhE0_TasksGetCalories.xlsm,SEARCH
Q45\R_3k52IJEAoWDXYeY_TasksGetCalories.xlsm,
Q45\R_1OB868ITvVihwky_TasksGetCalories.xlsm,
Q45\R_4UsvDtDgdM3ZGpj_TasksGetCalories.xlsm,
Q45\R_2ZBxPQQuIh03i2y_TasksGetCalories.xlsm,
Q45\R_30uG2ZwXnT77bbn_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3EKW8mlXMlWxd82_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_22LKWdUqrpcHhNW_Copy_of_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_eViAxlbSU0BASyd_Copy_of_TasksGetCalories.xlsm,"MID, TRIM, SEARCH, FIND"
Q45\R_4OsDi7hWwkxSZqN_TasksGetCalories.xlsm,
Q45\R_0BZacAYgUfhlJ4t_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2fEcI5pGrtNj7rC_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2aa79HHvLZz7c2E_TasksGetCalories.xlsm,
Q45\R_3oSb3ieF4UL8Ghj_TasksGetCalories.xlsm,
Q45\R_30oEu0bO9GWir9l_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2SdIiWTyPPjXmm0_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3EqYpF6mMHJUQbD_TasksGetCalories.xlsm,
Q45\R_31T5hrWjGxv6pjF_TasksGetCalories.xlsm,
Q45\R_1q3OqUmUVD6iHFu_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2xPhLqKvdJu84a7_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_2PALVkpPhMemJRI_TasksGetCalories.xlsm,
Q45\R_3rYSEBB6T4BZVQD_TasksGetCalories.xlsm,"TRIM, MID, SEARCH"
Q45\R_3gT5E50pSLIt2bc_TasksGetCalories.xlsm,"MID, FIND, LEN, LEFT"
Q45\R_3oTLROkmtVi3R6S_TasksGetCalories.xlsm,
Q45\R_3FWCIp182eJZsAF_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_b9E1tQc1bbm7Vmh_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_uk4sIyboQ3GReHn_TasksGetCalories.xlsm,"MID, SEARCH"
Q45\R_3R2BhEPCVPeE2cl_TasksGetCalories.xlsm,
Q45\R_2frk9NZtDLQa25V_Copy_of_TasksGetCalories.xlsm,
Q45\R_3dKXo3bDJREA7bm_TasksGetCalories.xlsm,"MID, FIND"
Q45\R_01TFUl89Du14arL_TasksGetCalories.xlsm,
Q45\R_22RGEJ3eXGKBsCR_TasksGetCalories.xlsm,"LOOKUP, MID, MIN, SEARCH, ROW"
Q45\R_Dra20VMhJvklra1_TasksGetCalories.xlsm,RIGHT
Q45\R_3DoPbhCpg57tHE3_TasksGetCalories.xlsm,
Q45\R_30oap1rKPl4T1GN_TasksGetCalories.xlsm,
Q45\R_1FfRMsSvnE8DB4L_TasksGetCalories.xlsm,
Q45\R_237Ub0pOqJfVgDK_TasksGetCalories.xlsm,
Q45\R_1mwupJv5bdpiYn8_TasksGetCalories1.xlsm,"MID, SEARCH"
